year,Base case cost,Modeled diesel efficiency
2019,110613.515365,263677.180971
2020,118545.958698,267065.381218
2021,124081.922762,268364.568139
2022,128754.131885,268966.027387
2023,131670.626884,268056.836088
2024,134153.481647,266836.876777
2025,137535.346655,266515.694058
2026,141375.53061,266690.749438
2027,144051.408161,265885.063667
2028,147017.260585,265418.889137
2029,150441.431957,265443.487017
2030,152980.695206,264736.004676
2031,156877.287648,265333.143186
2032,160473.328626,265726.081642
2033,164391.07425,266478.889575
2034,168774.189882,267720.591914
2035,171364.573322,267396.825548
2036,175433.916752,268480.349367
2037,178494.077113,268707.743713
2038,182926.550171,270242.567773
