year,Base case diesel consumed,Modeled diesel efficiency
2019,44069.1296275,40062.8451159
2020,44069.1296275,40062.8451159
2021,44157.2678868,40142.9708062
2022,44245.4061461,40223.0964964
2023,44333.5444053,40303.2221866
2024,44421.6826646,40383.3478769
2025,44509.8209238,40463.4735671
2026,44597.9591831,40543.5992573
2027,44597.9591831,40543.5992573
2028,44686.0974423,40623.7249476
2029,44774.2357016,40703.8506378
2030,44862.3739608,40783.976328
2031,44950.5122201,40864.1020183
2032,44950.5122201,40864.1020183
2033,45038.6504793,40944.2277085
2034,45126.7887386,41024.3533987
2035,45214.9269979,41104.479089
2036,45214.9269979,41104.479089
2037,45303.0652571,41184.6047792
2038,45391.2035164,41264.7304694
