year,Base case cost,Modeled residential energy efficiency
2017,381005.25092,383262.379827
2018,392724.024666,394036.869253
2019,408770.668038,408790.493917
2020,425984.208527,425401.11685
2021,431322.823401,430321.004866
2022,435283.73121,433971.244363
2023,438007.833814,436481.685755
2024,440246.607793,438544.864601
2025,453121.979025,451209.030497
2026,456481.141269,454311.5537
2027,459325.982021,456939.049427
2028,461624.356188,459061.828461
2029,475259.324262,472456.120687
2030,487772.80708,484822.250946
2031,491339.997488,488130.346437
2032,495025.530707,491548.189173
2033,498609.627232,494871.962842
2034,502396.597144,498383.874644
2035,504814.171687,500625.854053
2036,508736.390525,504263.191276
