year,Base case cost,Modeled non-residential energy efficiency
2017,356203.197048,357985.148067
2018,368058.301301,369800.336715
2019,384291.62351,385979.002056
2020,391861.00737,393522.900139
2021,397117.952169,398762.145041
2022,401018.266052,402649.326742
2023,403700.695363,405322.724433
2024,405905.220601,407519.827134
2025,408556.817391,410162.496116
2026,411778.815816,413373.646217
2027,414507.493908,416093.136972
2028,416712.019147,418290.239673
2029,419733.606187,421301.653164
2030,421583.557435,423145.37571
2031,424836.388381,426387.25452
