year,Base case diesel consumed,Modeled non-residential ashp
2017,39608.6363896,29109.1668495
2018,39608.6363896,29109.1668495
2019,39608.6363896,29109.1668495
2020,40696.3060499,30196.8365098
2021,40696.3060499,30196.8365098
2022,40696.3060499,30196.8365098
2023,40696.3060499,30196.8365098
2024,40696.3060499,30196.8365098
2025,41783.9757103,31284.5061702
2026,41783.9757103,31284.5061702
2027,41783.9757103,31284.5061702
2028,41783.9757103,31284.5061702
2029,42871.6453706,32372.1758305
2030,43959.315031,33459.8454909
2031,43959.315031,33459.8454909
