year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2005,,2.15,4.0
2008,,4.96,5.97
2009,,4.72,8.0
2010,,4.45,6.75
2011,,4.38,6.75
2012,,4.51,3.66
2013,,4.67,8.17
2014,,,6.52
2016,start of forecast,2.7,3.98
2017,,3.16,4.44
2018,,3.49,4.77
2019,,3.95,5.23
2020,,4.17,5.44
2021,,4.31,5.59
2022,,4.42,5.7
2023,,4.5,5.78
2024,,4.56,5.84
2025,,4.64,5.91
2026,,4.73,6.0
2027,,4.8,6.08
2028,,4.87,6.14
2029,,4.95,6.23
2030,,5.0,6.28
2031,,5.1,6.37
2032,,5.19,6.47
2033,,5.28,6.56
2034,,5.38,6.66
2035,,5.44,6.72
2036,,5.54,6.82
2037,,5.6,6.88
2038,,5.7,6.98
2039,,5.78,7.05
2040,,5.89,7.16
