year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,10774.19,1722878.0,0.0,1722878.0
2004,,10774.19,1602725.0,0.0,1602725.0
2005,,10774.19,1511650.0,0.0,1511650.0
2006,,10774.19,1502891.0,0.0,1502891.0
2007,,10774.19,1602026.0,0.0,1602026.0
2008,,10774.19,1664610.0,0.0,1664610.0
2009,,10774.19,1645047.0,0.0,1645047.0
2010,,10774.19,1550669.0,0.0,1550669.0
2011,,10774.19,1555614.0,0.0,1555614.0
2012,,10774.19,1537262.0,0.0,1537262.0
2013,,10774.19,1561935.0,0.0,1561935.0
2014,start of forecast,10774.19,1557000.0,7053.0,1549947.0
2015,,10774.19,1557000.0,7053.0,1549947.0
2016,,10774.19,1557000.0,7053.0,1549947.0
2017,,10774.19,1557000.0,7053.0,1549947.0
2018,,10774.19,1557000.0,7053.0,1549947.0
2019,,10774.19,1557000.0,7053.0,1549947.0
2020,,10774.19,1557000.0,7053.0,1549947.0
2021,,10774.19,1557000.0,7053.0,1549947.0
2022,,10774.19,1557000.0,7053.0,1549947.0
2023,,10774.19,1557000.0,7053.0,1549947.0
2024,,10774.19,1557000.0,7053.0,1549947.0
2025,,10774.19,1557000.0,7053.0,1549947.0
2026,,10774.19,1557000.0,7053.0,1549947.0
2027,,10774.19,1557000.0,7053.0,1549947.0
2028,,10774.19,1557000.0,7053.0,1549947.0
2029,,10774.19,1557000.0,7053.0,1549947.0
2030,,10774.19,1557000.0,7053.0,1549947.0
2031,,10774.19,1557000.0,7053.0,1549947.0
2032,,10774.19,1557000.0,7053.0,1549947.0
2033,,10774.19,1557000.0,7053.0,1549947.0
2034,,10774.19,1557000.0,7053.0,1549947.0
2035,,10774.19,1557000.0,7053.0,1549947.0
2036,,10774.19,1557000.0,7053.0,1549947.0
2037,,10774.19,1557000.0,7053.0,1549947.0
2038,,10774.19,1557000.0,7053.0,1549947.0
2039,,10774.19,1558000.0,7053.0,1550947.0
2040,,10774.19,1558000.0,7053.0,1550947.0
