year,Base case diesel consumed,Modeled solar power (pv)
2016,117119.571699,116183.314263
2017,117119.571699,116190.804322
2018,117119.571699,116198.234461
2019,117119.571699,116205.605159
2020,117119.571699,116212.916892
2021,117119.571699,116220.17013
2022,117119.571699,116227.365343
2023,117119.571699,116234.502993
2024,117119.571699,116241.583543
2025,117119.571699,116248.607448
2026,117119.571699,116255.575162
2027,117119.571699,116262.487135
2028,117119.571699,116269.343811
2029,117119.571699,116276.145634
2030,117119.571699,116282.893043
2031,117119.571699,116289.586472
2032,117119.571699,116296.226354
2033,117119.571699,116302.813117
2034,117119.571699,116309.347185
2035,117119.571699,116315.828981
