year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10047.9408899,6531.16157841
2018,10044.3632508,6528.83611304
2019,10042.7609863,6527.7946411
2020,10041.1220246,6526.72931601
2021,10041.7803049,6527.15719817
2022,10042.4587352,6527.59817787
2023,10043.6070225,6528.34456465
2024,10044.9449341,6529.21420717
2025,10046.2780417,6530.08072709
2026,10045.0354093,6529.27301602
2027,10043.8118594,6528.4777086
2028,10043.2993002,6528.14454514
2029,10041.4653766,6526.95249476
2030,10040.600925,6526.39060126
2031,10040.7635935,6526.49633578
