year,Base case diesel consumed,Feasinility assessment for biomass heating system
2019,66212.1920063,58412.1920063
2020,66212.1920063,58412.1920063
2021,66212.1920063,58412.1920063
2022,66212.1920063,58412.1920063
2023,66212.1920063,58412.1920063
2024,66212.1920063,58412.1920063
2025,66212.1920063,58412.1920063
2026,66212.1920063,58412.1920063
2027,66212.1920063,58412.1920063
2028,66212.1920063,58412.1920063
2029,66212.1920063,58412.1920063
2030,66212.1920063,58412.1920063
2031,66212.1920063,58412.1920063
