year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9137.90113279,5939.63573631
2018,9121.51257562,5928.98317415
2019,9104.64325548,5918.01811606
2020,9087.74197326,5907.03228262
2021,9071.13301091,5896.23645709
2022,9054.59263385,5885.485212
2023,9038.21273308,5874.8382765
2024,9021.68234418,5864.09352372
2025,9005.23652162,5853.40373905
2026,8988.75340996,5842.68971647
2027,8972.62521058,5832.20638688
2028,8956.71808226,5821.86675347
2029,8938.62554664,5810.10660532
2030,8921.11565312,5798.72517453
2031,8904.3601979,5787.83412863
