year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,44058.24,9137.9,59917.32,48336.91
2018,44526.71,9121.51,59917.32,49579.47
2019,44917.1,9104.64,59917.32,49579.47
2020,45385.57,9087.74,59917.32,50822.02
2021,45775.96,9071.13,59917.32,52064.58
2022,46244.43,9054.59,59917.32,53307.13
2023,46634.82,9038.21,59917.32,53307.13
2024,47025.21,9021.68,59917.32,54549.69
2025,47493.68,9005.24,59917.32,55792.25
2026,47884.07,8988.75,59917.32,55792.25
2027,48274.46,8972.63,59917.32,57034.8
2028,48664.85,8956.72,59917.32,58277.36
2029,49133.32,8938.63,59917.32,59519.91
2030,49601.79,8921.12,59917.32,59519.91
2031,50070.26,8904.36,59917.32,60762.47
2032,50382.57,8889.58,59917.32,62005.03
2033,50772.96,8875.48,59917.32,62005.03
2034,51163.35,8861.39,59917.32,63247.58
2035,51475.66,8846.81,59917.32,64490.14
2036,51866.05,8831.45,59917.32,64490.14
2037,52334.52,8815.33,59917.32,65732.69
2038,52724.91,8799.54,59917.32,66975.25
2039,53115.3,8784.81,59917.32,68217.8
2040,53427.62,8770.85,59917.32,68217.8
