year,Base case diesel consumed,Modeled transmission and interties
2021,45775.95963,-6224.07638255
2022,46244.4284229,-6224.07638255
2023,46634.8190837,-6224.07638255
2024,47025.2097445,-6224.07638255
2025,47493.6785374,-6224.07638255
2026,47884.0691981,-6224.07638255
2027,48274.4598589,-6224.07638255
2028,48664.8505196,-6224.07638255
2029,49133.3193125,-6224.07638255
2030,49601.7881054,-6224.07638255
2031,50070.2568983,-6224.07638255
2032,50382.569427,-6224.07638255
2033,50772.9600877,-6224.07638255
2034,51163.3507485,-6224.07638255
2035,51475.6632771,-6224.07638255
2036,51866.0539378,-6224.07638255
2037,52334.5227307,-6224.07638255
2038,52724.9133915,-6224.07638255
2039,53115.3040522,-6224.07638255
2040,53427.6165808,-6224.07638255
