year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,103580.0,76989.0071321
2018,103580.0,76989.0071321
2019,103580.0,76989.0071321
2020,103580.0,76989.0071321
2021,103580.0,76989.0071321
2022,103580.0,76989.0071321
2023,103580.0,76989.0071321
2024,103580.0,76989.0071321
2025,103580.0,76989.0071321
2026,103580.0,76989.0071321
2027,103580.0,76989.0071321
2028,103580.0,76989.0071321
2029,103580.0,76989.0071321
2030,103580.0,76989.0071321
2031,103580.0,76989.0071321
2032,,
2033,,
2034,,
2035,,
2036,,
