year,Base case cost,Modeled water and wastewater efficiency
2017,126394.496234,113861.437208
2018,133534.76348,118255.565459
2019,142948.334158,124253.31206
2020,147407.352289,126800.317505
2021,150530.396349,128428.011099
2022,152837.870946,129498.607839
2023,154555.136565,130169.64281
2024,155872.006827,130573.314223
2025,157371.970166,131116.836101
2026,159440.52734,132069.104783
2027,160886.934293,132597.886143
2028,162301.46028,133115.248793
2029,163947.221683,133805.686803
2030,164892.089424,134015.700743
2031,166742.361293,134870.435819
