year,Base case cost,Modeled biomass for heat (cordwood)
2017,642683.001164,690158.794523
2018,678936.001164,715638.012222
2019,726582.801164,749620.40199
2020,749370.401164,765159.005518
2021,764907.401164,775341.167099
2022,776301.201164,782475.788456
2023,784587.601164,787332.009197
2024,790802.401164,790678.986512
2025,798053.001164,794825.674907
2026,808411.001164,801311.15559
2027,815661.601164,805515.405599
2028,822912.201164,809747.42859
2029,831198.601164,814776.463696
2030,836377.601164,817522.314973
2031,845699.801164,823373.592131
2032,,
2033,,
2034,,
2035,,
2036,,
