year,Base case diesel consumed,Buckland (hunter creek)
2021,123169.209713,91510.141704
2022,124049.005807,92389.9377982
2023,125148.750925,93489.682916
2024,126248.496043,94589.4280338
2025,127201.608478,95542.5404693
2026,127568.190184,95909.1221752
2027,127788.139208,96129.0711988
2028,127641.506526,95982.4385164
2029,127788.139208,96129.0711988
2030,126981.659455,95322.5914457
2031,127128.292137,95469.2241281
2032,127274.92482,95615.8568105
2033,127494.873843,95835.805834
2034,127274.92482,95615.8568105
2035,127054.975796,95395.9077869
2036,126541.761408,94882.6933986
2037,125955.230678,94296.1626691
2038,125661.965314,94002.8973043
2039,125222.067266,93562.9992572
2040,124928.801902,93269.7338925
2041,124415.587513,92756.5195042
2042,123975.689466,92316.6214571
2043,123535.791419,91876.7234099
2044,123022.577031,91363.5090216
2045,122289.413619,90630.3456098
2046,122216.097278,90557.0292686
2047,121776.199231,90117.1312215
2048,121629.566548,89970.4985391
2049,121189.668501,89530.600492
2050,121189.668501,89530.600492
2051,121189.668501,89530.600492
2052,121189.668501,89530.600492
2053,121189.668501,89530.600492
2054,121189.668501,89530.600492
2055,121189.668501,89530.600492
2056,121189.668501,89530.600492
2057,121189.668501,89530.600492
2058,121189.668501,89530.600492
2059,121189.668501,89530.600492
2060,121189.668501,89530.600492
2061,121189.668501,89530.600492
2062,121189.668501,89530.600492
2063,121189.668501,89530.600492
2064,121189.668501,89530.600492
2065,121189.668501,89530.600492
2066,121189.668501,89530.600492
2067,121189.668501,89530.600492
2068,121189.668501,89530.600492
2069,121189.668501,89530.600492
2070,121189.668501,89530.600492
