year,Base case cost,"Napaskiak wind, power and heat recovery",Modeled wind power
2019,254062.377422,442147.06246,424605.52967
2020,268915.254871,449297.842776,436853.852361
2021,279367.851579,454480.58355,445524.385287
2022,287193.281595,458252.278232,451978.997009
2023,292671.082607,460892.46451,456497.225214
2024,297675.132247,463464.27295,460678.783879
2025,303158.621526,466110.147495,465202.700351
2026,309425.466415,469134.004118,470372.890605
2027,315235.624734,472106.547703,475223.476119
2028,319940.634059,474379.315828,479105.994466
2029,326552.0254,477747.718901,484620.731172
2030,329691.948721,479266.148089,487212.327176
2031,337105.385692,483031.22326,493392.027683
2032,343391.733211,486074.582512,498581.720566
2033,350463.87417,489498.36167,504420.12506
2034,357905.752476,493291.878176,510628.266901
2035,362625.388772,495579.273272,514525.412221
2036,370086.769708,499392.292408,520753.056692
2037,374811.281662,501684.563161,524655.077669
2038,382292.165226,505517.084925,530902.22477
