year,Base case diesel consumed,Modeled non-residential ashp
2017,76695.2316821,55335.6951738
2018,77637.670478,56278.1339697
2019,79522.5480698,58163.0115615
2020,80464.9868657,59105.4503574
2021,82349.8644575,60990.3279492
2022,83292.3032534,61932.7667451
2023,84234.7420493,62875.2055411
2024,85177.1808452,63817.644337
2025,86119.6196411,64760.0831329
2026,88004.4972329,66644.9607247
2027,89889.3748247,68529.8383165
2028,91774.2524166,70414.7159083
2029,92716.6912125,71357.1547042
2030,94601.5688043,73242.032296
2031,96486.4463961,75126.9098878
