year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,78091.78,9683.23,71198.46,66220.65
2018,78091.78,9766.05,71198.46,67034.38
2019,78173.04,9850.15,71198.46,68661.83
2020,78173.04,9932.28,71198.46,69475.56
2021,78254.3,10028.79,71198.46,71103.01
2022,78254.3,10092.64,71198.46,71916.73
2023,78254.3,10161.99,71198.46,72730.46
2024,78335.56,10235.58,71198.46,73544.19
2025,78335.56,10307.28,71198.46,74357.91
2026,78335.56,10388.95,71198.46,75985.36
2027,78416.82,10536.52,71198.46,77612.82
2028,78416.82,10620.93,71198.46,79240.27
2029,78498.08,10705.5,71198.46,80053.99
2030,78498.08,10790.68,71198.46,81681.45
2031,78579.34,10911.14,71198.46,83308.9
2032,78579.34,,,84122.63
2033,78579.34,,,85750.08
2034,78660.6,,,86563.8
2035,78660.6,,,88191.26
2036,78741.87,,,89818.71
