year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,8727.15,10331.51
2018,,0.0,8727.15,10331.51
2019,,0.0,8727.15,10331.51
2020,,0.0,8727.15,10331.51
2021,,0.0,8727.15,10331.51
2022,,0.0,8727.15,10331.51
2023,,0.0,8727.15,10331.51
2024,,0.0,8727.15,10331.51
2025,,0.0,8727.15,10331.51
2026,,0.0,8727.15,10331.51
2027,,0.0,8727.15,10331.51
2028,,0.0,8727.15,10331.51
2029,,0.0,8727.15,8475.22
2030,,0.0,8727.15,8475.22
2031,,0.0,8727.15,8475.22
2032,,0.0,8727.15,8475.22
2033,,0.0,8727.15,8475.22
2034,,0.0,8727.15,8475.22
2035,,0.0,8727.15,8475.22
2036,,0.0,8727.15,8475.22
2037,,0.0,8727.15,8475.22
2038,,0.0,8727.15,8475.22
2039,,0.0,8727.15,6618.92
2040,,0.0,8727.15,6618.92
