year,Base case diesel consumed,Modeled non-residential ashp
2017,184087.20464,111014.383173
2018,186549.023844,113476.202377
2019,189010.843048,115938.021581
2020,191472.662252,118399.840786
2021,193934.481456,120861.65999
2022,196396.30066,123323.479194
2023,198858.119864,125785.298398
2024,201319.939069,128247.117602
2025,203781.758273,130708.936806
2026,206243.577477,133170.75601
2027,208705.396681,135632.575214
2028,211167.215885,138094.394419
2029,213629.035089,140556.213623
2030,216090.854293,143018.032827
2031,218552.673497,145479.852031
