year,Base case cost,Modeled water and wastewater efficiency
2017,23903.1717996,
2018,31006.4715301,
2019,40961.1089427,
2020,45495.5630309,
2021,48855.7107306,
2022,51273.101999,
2023,52981.5043018,
2024,54456.583875,
2025,56170.8149695,
2026,58127.2744693,
2027,59851.1718577,
2028,61340.945565,
2029,63302.7096526,
2030,64552.2001395,
2031,66525.2313149,
