year,Base case cost,Modeled diesel efficiency
2019,1228442.93919,1535776.72128
2020,1276609.98039,1579564.94056
2021,1304275.08631,1604715.03685
2022,1316921.7697,1616212.02174
2023,1318616.33196,1617752.53289
2024,1315790.33348,1615183.44336
2025,1316343.73928,1615686.53955
2026,1318842.4896,1617958.13074
2027,1316339.20317,1615682.41581
2028,1309516.88903,1609480.31205
2029,1311966.39012,1611707.13122
2030,1303807.21864,1604289.7026
2031,1302417.872,1603026.6602
2032,1298709.92353,1599655.79795
2033,1293460.99263,1594884.04259
2034,1286952.31831,1588967.06594
2035,1271624.14406,1575032.36207
2036,1264359.8829,1568428.48829
2037,1249062.81342,1554522.06149
2038,1239931.6177,1546220.97447
