year,Base case cost,Modeled residential energy efficiency
2017,1362861.36323,1763343.36385
2018,1422018.14326,1807003.80579
2019,1485555.83377,1853564.66955
2020,1528033.32769,1882639.97041
2021,1563197.70501,1905657.31527
2022,1588803.33659,1919642.36801
2023,1604849.07975,1925022.23382
2024,1613144.79624,1922878.33006
2025,1625399.74891,1924914.61726
2026,1640097.09731,1929319.87137
2027,1661724.33571,1941010.33685
2028,1686382.3871,1956081.99761
2029,1656457.30407,1916482.27645
2030,1633581.28673,1884706.27828
2031,1628504.47912,1870198.12472
