year,Base case cost,Modeled non-residential energy efficiency
2017,1453788.7103,1466141.70664
2018,1518055.60869,1524529.30919
2019,1606422.59396,1607154.79439
2020,1648597.74603,1643723.01285
2021,1676714.51407,1666364.2597
2022,1700814.60096,1685117.15793
2023,1714872.98498,1693953.67827
2024,1728931.369,1702912.58576
2025,1742989.75302,1711991.01226
2026,1761064.81819,1725202.83786
2027,1777131.54279,1736520.305
2028,1791189.92681,1745940.74203
2029,1809264.99198,1759486.56243
2030,1819306.69485,1765105.17445
2031,1839390.1006,1780869.15575
