year,Base case cost,Modeled water and wastewater efficiency
2017,31601.5410815,75860.6045653
2018,34483.6636797,76466.7815363
2019,38286.9998513,77698.5393087
2020,40198.6057867,77729.9471813
2021,41566.1767257,77436.9310735
2022,42689.4136033,77010.8957205
2023,43362.1088789,76318.4040715
2024,43966.2660042,75606.2803069
2025,44586.6929062,74930.9894708
2026,45401.748449,74408.0436774
2027,46208.4721108,73906.0012836
2028,46957.2438408,73390.9131059
2029,47289.115437,72615.9323533
2030,47400.1321852,71723.0641202
2031,48073.2129055,71221.1019797
