year,Base case diesel consumed,Modeled residential ashp
2017,30506.2765638,-77576.3682886
2018,31298.6718915,-76783.972961
2019,31751.4692216,-76331.1756309
2020,32317.4658842,-75765.1789682
2021,32883.4625468,-75199.1823056
2022,33223.0605444,-74859.5843081
2023,33449.4592094,-74633.185643
2024,33449.4592094,-74633.185643
2025,33562.658542,-74519.9863105
2026,33675.8578745,-74406.786978
2027,34015.4558721,-74067.1889804
2028,34468.2532022,-73614.3916503
2029,33336.2598769,-74746.3849755
2030,32543.8645492,-75538.7803032
2031,32091.0672191,-75991.5776333
