year,Base case cost,Melanson lake (melanson creek),Myrtle creek (niblack lake),"Collinson creek (moira sound, unnamed stream)",Kegan creek,Triangle lake (annette island),Weigle (weigle creek),Paul lake (tunnel creek),Tamgas lake  (tamgas creek),Triangle lake hydroelectric project
2021,0.0,422434.592543,3675897.50562,712812.760435,3485202.59382,5056361.53864,2247171.41139,1003476.13413,502620.230279,
2022,0.0,413637.412102,3599610.24214,698970.645944,3413033.75224,4952312.20182,2201104.3245,983407.397852,492249.171314,
2023,0.0,405197.324577,3526359.86363,685462.843779,3343701.19504,4852202.76551,2156741.38644,963965.135858,482277.296863,
2024,0.0,396949.804336,3454782.86501,672271.286238,3275953.8125,4754387.44338,2113396.49141,944973.12309,472533.709943,
2025,0.0,388890.338573,3384840.03072,659388.562143,3209754.45613,4658812.47299,2071045.7816,926420.807979,463013.060649,
2026,0.0,380950.558758,3315963.72768,646803.243071,3144581.62283,4564789.06226,2029401.28987,908231.718894,453643.957362,
2027,0.0,373222.102156,3248910.55122,634514.54557,3081127.71282,4473220.35918,1988837.25995,890495.041245,444520.547201,
2028,0.0,365700.76512,3183643.9723,622515.56618,3019358.12254,4384056.2844,1949331.46846,873200.94632,435637.846767,
2029,0.0,358286.501854,3119334.32675,610793.279397,2958511.23445,4296293.51646,1910465.21841,856240.588384,426891.740667,
2030,0.0,351167.186603,3057534.77604,599353.672225,2900009.71291,4211793.14918,1873011.31448,839803.093037,418475.976079,
2031,0.0,344051.079746,2995829.303,588171.459433,2841637.83402,4127645.26346,1835758.06209,823581.558238,410088.162345,
2032,0.0,337126.241769,2935772.68748,577252.933879,2784819.79524,4045713.17186,1799479.25052,807765.545042,401922.267428,
2033,0.0,330324.977917,2876803.15144,566587.773651,2729039.63984,3965316.10919,1763890.47465,792280.157197,393907.698469,
2034,0.0,323675.623481,2819153.68471,556172.087454,2674509.97183,3886728.79086,1729104.79637,777149.954803,386073.217348,
2035,0.0,317270.559445,2763587.34543,546006.313211,2621929.31356,3810863.22498,1695500.39119,762465.862187,378513.852859,
2036,0.0,310882.444909,2708221.25245,536070.074674,2569570.76556,3735450.99095,1662132.54452,747988.166969,370993.89977,
2037,0.0,304795.709775,2655407.90263,526376.652654,2519589.87963,3663314.92492,1630174.30677,734006.68005,363807.083107,
2038,0.0,298687.232245,2602471.81197,516899.649447,2469533.24652,3591234.09389,1598284.81352,720182.815241,356618.638262,
2039,0.0,292809.61886,2551502.17668,507650.508858,2421315.10095,3521715.06415,1567505.61296,706773.667751,349689.393292,
2040,0.0,286967.824304,2500883.5198,498611.467154,2373453.74777,3452811.31068,1537025.98921,693573.345013,342817.099751,
2041,0.0,281606.488311,2454294.3396,489806.785198,2329320.32169,3388940.04043,1508682.28219,681037.792036,336461.263287,
2042,0.0,276370.808504,2408797.09222,481208.462768,2286221.27175,3326565.75158,1481002.88013,668796.040787,330254.391591,
2043,0.0,271257.840221,2364366.18899,472811.663977,2244132.35808,3265653.36343,1453972.21553,656841.206233,324192.993779,
2044,0.0,266264.707087,2320976.63466,464611.665083,2203029.90295,3206168.60884,1427575.0819,645166.563009,318273.659925,
2045,0.0,261388.600601,2278604.0238,456603.853812,2162890.78736,3148078.02926,1401796.63156,633765.544446,312493.060566,
2046,0.0,256626.777653,2237224.51921,448783.725278,2123692.43059,3091348.94518,1376622.36255,622631.736773,306847.943759,
2047,0.0,251976.560113,2196814.84833,441146.881303,2085412.78679,3035949.45116,1352038.11644,611758.87814,301335.134591,
2048,0.0,247435.331926,2157352.27807,433689.025663,2048030.32117,2981848.38136,1328030.06296,601140.851851,295951.531747,
2049,0.0,243000.538707,2118814.61121,426405.963403,2011524.00652,2929015.30457,1304584.69787,590771.685395,290694.107014,
2050,0.0,238669.68608,2081180.17201,419293.598122,1975873.30965,2877420.50453,1281688.8342,580645.546572,285559.903322,
