year,Base case cost,Modeled biomass for heat (cordwood)
2017,209615.405064,282880.009052
2018,232573.085064,298388.342507
2019,266053.035064,321711.388528
2020,281358.155064,331629.255989
2021,292836.995064,338750.700626
2022,301446.125064,343782.256793
2023,307185.545064,346723.174027
2024,311968.395064,348987.325133
2025,316751.245064,351281.297247
2026,324403.805064,355726.299968
2027,330143.225064,358785.136541
2028,334926.075064,361164.443252
2029,341622.065064,364985.477694
2030,345448.345064,366711.08999
2031,353100.905064,371291.779257
2032,,
2033,,
2034,,
2035,,
2036,,
