year,Base case diesel consumed,Modeled residential ashp
2017,92319.1808925,47181.6509667
2018,94312.4297635,49174.8998377
2019,96305.6786345,51168.1487087
2020,97302.30307,52164.7731442
2021,98298.9275055,53161.3975797
2022,99295.551941,54158.0220152
2023,99295.551941,54158.0220152
2024,99295.551941,54158.0220152
2025,100292.176377,55154.6464507
2026,100292.176377,55154.6464507
2027,101288.800812,56151.2708862
2028,102285.425248,57147.8953217
2029,99295.551941,54158.0220152
2030,97302.30307,52164.7731442
2031,96305.6786345,51168.1487087
