year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,270780.23,5321.68,95656.64,45137.53
2018,282389.49,5337.82,95656.64,46112.09
2019,291144.27,5346.67,95656.64,47086.64
2020,293746.16,5355.63,95656.64,47573.92
2021,300989.49,5366.19,95656.64,48061.2
2022,304975.04,5372.08,95656.64,48548.48
2023,306984.62,5376.24,95656.64,48548.48
2024,307509.3,5376.78,95656.64,48548.48
2025,308472.35,5378.26,95656.64,49035.76
2026,310153.11,5381.13,95656.64,49035.76
2027,314299.19,5387.9,95656.64,49523.04
2028,319240.41,5395.98,95656.64,50010.32
2029,306633.45,5375.37,95656.64,48548.48
2030,297915.68,5361.04,95656.64,47573.92
2031,289338.85,5347.0,95656.64,47086.64
2032,297370.42,,,47573.92
2033,308573.62,,,49035.76
2034,319001.32,,,50010.32
2035,325335.41,,,50497.6
2036,325490.32,,,50497.6
