year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5321.67758947,3459.09043315
2018,5337.8200976,3469.58306344
2019,5346.66696403,3475.33352662
2020,5355.63475419,3481.16259022
2021,5366.19344716,3488.02574065
2022,5372.08065132,3491.85242336
2023,5376.24199315,3494.55729555
2024,5376.7772426,3494.90520769
2025,5378.25558918,3495.86613297
2026,5381.12968711,3497.73429662
2027,5387.89736718,3502.13328867
2028,5395.98036272,3507.38723577
2029,5375.37015465,3493.99060052
2030,5361.04339189,3484.67820473
2031,5347.00436283,3475.55283584
