year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,684524.56,8669.54,63194.6,4848.79
2018,684453.71,8669.44,63194.6,4848.79
2019,684453.71,8669.35,63194.6,4848.79
2020,684382.85,8669.25,63194.6,4848.79
2021,684312.0,8669.12,63194.6,4848.79
2022,684241.14,8668.98,63194.6,4848.79
2023,684170.29,8668.81,63194.6,3776.06
2024,684028.58,8668.64,63194.6,3776.06
2025,683957.72,8668.46,63194.6,3776.06
2026,683816.02,8668.26,63194.6,3776.06
2027,683745.16,8668.05,63194.6,3776.06
2028,683603.45,8667.83,63194.6,3776.06
2029,683532.6,8667.66,63194.6,3776.06
2030,683390.89,8667.46,63194.6,3776.06
2031,683320.03,8667.23,63194.6,3776.06
2032,683178.33,,,3776.06
2033,682965.76,,,3776.06
2034,682824.05,,,2703.34
2035,682682.34,,,2703.34
2036,682540.64,,,2703.34
