year,Base case cost,Modeled water and wastewater efficiency
2017,68192.4760363,49695.320173
2018,72698.8562582,52803.6881804
2019,79208.3968692,57311.2748121
2020,82211.837421,59372.2102151
2021,84380.17976,60851.017075
2022,86047.4966132,61980.8855109
2023,87213.6426402,62761.6918838
2024,88045.7645571,63310.1015923
2025,89211.4488959,64092.1148131
2026,90543.8315177,64991.2325986
2027,91708.9129887,65774.2802665
2028,92540.058011,66324.9237006
2029,93872.4897213,67226.2010893
2030,94703.8142505,67778.3398371
2031,96035.3320372,68680.2957614
