year,Base case cost,Modeled biomass for heat (pellet)
2017,221864.512719,240893.618865
2018,238927.162719,252527.473721
2019,263573.212719,269583.615214
2020,274948.312719,277185.130423
2021,283163.662719,282544.636206
2022,289483.162719,286563.463937
2023,293906.812719,289241.338422
2024,297066.562719,291028.797502
2025,301490.212719,293728.805084
2026,306545.812719,296890.298281
2027,310969.462719,299611.413631
2028,314129.212719,301441.100118
2029,319184.812719,304633.15199
2030,322344.562719,306482.496617
2031,327400.162719,309693.74589
2032,,
2033,,
2034,,
2035,,
2036,,
