year,Base case cost,Modeled wind power
2019,327145.940589,483347.29877
2020,347629.724302,492601.599182
2021,362600.352753,498101.99406
2022,373067.040856,500527.97684
2023,381918.985096,502112.307344
2024,388124.381635,501820.379895
2025,395705.516627,502691.392761
2026,405777.991539,505511.491844
2027,414535.936701,507452.550821
2028,421414.628966,508274.082751
2029,431356.671049,511282.281961
2030,436920.833563,511320.977977
2031,446944.487249,514610.895767
2032,457314.261573,518343.484071
2033,467437.015062,521923.338421
2034,478724.919921,526433.637286
2035,485579.56591,527907.732917
2036,497604.889898,533333.18157
2037,504862.493177,535383.799647
2038,516356.61307,540447.541441
