year,annotation,Average Load
2003,,134.0
2004,,136.0
2005,,127.0
2006,,136.0
2007,,132.0
2008,,129.0
2009,,133.0
2010,,152.0
2011,,168.0
2012,,155.0
2013,,147.0
2014,start of forecast,158.0
2015,,158.0
2016,,159.0
2017,,159.0
2018,,160.0
2019,,160.0
2020,,161.0
2021,,161.0
2022,,162.0
2023,,162.0
2024,,163.0
2025,,163.0
2026,,163.0
2027,,164.0
2028,,164.0
2029,,165.0
2030,,165.0
2031,,166.0
2032,,166.0
2033,,167.0
2034,,167.0
2035,,168.0
2036,,168.0
2037,,169.0
2038,,169.0
2039,,170.0
2040,,170.0
