year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5612.14143038,3647.89192975
2018,5612.73384869,3648.27700165
2019,5612.53726665,3648.14922333
2020,5612.14448047,3647.8939123
2021,5611.99340678,3647.79571441
2022,5611.57940496,3647.52661322
2023,5611.18915601,3647.27295141
2024,5610.60380958,3646.89247623
2025,5609.97757042,3646.48542077
2026,5609.22724948,3645.99771216
2027,5608.62341359,3645.60521884
2028,5608.08165909,3645.25307841
2029,5606.25967858,3644.06879108
2030,5604.83310248,3643.14151661
2031,5603.99837785,3642.5989456
