year,Base case cost,Modeled biomass for heat (cordwood)
2017,121626.801303,153073.980298
2018,135847.741303,162855.660323
2019,155573.561303,176724.910637
2020,165207.101303,183148.586001
2021,171629.461303,187214.267511
2022,176675.601303,190278.364141
2023,180345.521303,192340.500659
2024,183097.961303,193739.508926
2025,186767.881303,195831.824306
2026,190896.541303,198277.899026
2027,194566.461303,200398.995213
2028,197318.901303,201855.581283
2029,201447.561303,204343.323286
2030,203741.261303,205487.515266
2031,208328.661303,208340.631564
2032,,
2033,,
2034,,
2035,,
2036,,
