year,Base case cost,Modeled biomass for heat (pellet)
2017,121626.801303,144903.211733
2018,135847.741303,154695.613072
2019,155573.561303,168423.197934
2020,165207.101303,174959.472299
2021,171629.461303,179212.909265
2022,176675.601303,182492.30088
2023,180345.521303,184797.46698
2024,183097.961303,186455.475757
2025,186767.881303,188775.131927
2026,190896.541303,191429.023564
2027,194566.461303,193762.498543
2028,197318.901303,195448.152708
2029,201447.561303,198122.050462
2030,203741.261303,199493.330262
2031,208328.661303,202507.040283
2032,,
2033,,
2034,,
2035,,
2036,,
