year,Base case cost,Modeled transmission and interties
2021,340216.619376,
2022,349083.199972,
2023,355562.702523,
2024,361232.267256,
2025,366787.870888,
2026,373116.781986,
2027,380369.592003,
2028,384232.059291,
2029,391277.297304,
2030,394283.021321,
2031,401257.033646,
2032,408190.345579,
2033,414018.641844,
2034,421639.790417,
2035,424965.012518,
2036,431698.892525,
2037,436047.729508,
2038,443485.726313,
2039,447372.613836,
2040,455478.097084,
