year,Base case cost,Modeled diesel efficiency
2019,154680.825754,297519.754968
2020,163612.526979,301962.120341
2021,170108.309688,304276.20247
2022,174541.599986,304799.459662
2023,177781.351262,304319.877015
2024,180616.133628,303552.409637
2025,183393.935444,302811.529487
2026,186558.390993,302498.703354
2027,190184.796002,302680.587578
2028,192116.029645,301394.410999
2029,195638.648652,301626.241811
2030,197141.51066,300091.552001
2031,200628.516823,300428.620242
2032,204095.172789,300813.585255
2033,207009.320922,300761.111118
2034,210819.895208,301586.891042
2035,212482.506259,300521.813995
2036,215849.446263,301066.514667
2037,218023.864754,300586.077154
2038,221742.863156,301567.393466
