year,Base case diesel consumed,Modeled residential ashp
2017,1900.83867539,-11034.6449615
2018,1900.83867539,-11034.6449615
2019,1900.83867539,-11034.6449615
2020,1900.83867539,-11034.6449615
2021,1900.83867539,-11034.6449615
2022,1900.83867539,-11034.6449615
2023,1900.83867539,-11034.6449615
2024,1900.83867539,-11034.6449615
2025,1900.83867539,-11034.6449615
2026,1900.83867539,-11034.6449615
2027,1900.83867539,-11034.6449615
2028,1786.80910357,-11148.6745333
2029,1786.80910357,-11148.6745333
2030,1786.80910357,-11148.6745333
2031,1786.80910357,-11148.6745333
