year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,229219.0,163514.65818
2018,229219.0,163514.65818
2019,229219.0,163514.65818
2020,229219.0,163514.65818
2021,229219.0,163514.65818
2022,229219.0,163514.65818
2023,229219.0,163514.65818
2024,229219.0,163514.65818
2025,229219.0,163514.65818
2026,229219.0,163514.65818
2027,229219.0,163514.65818
2028,229219.0,163514.65818
2029,229219.0,163514.65818
2030,229219.0,163514.65818
2031,229219.0,163514.65818
2032,,
2033,,
2034,,
2035,,
2036,,
