year,Base case diesel consumed,Modeled residential ashp
2017,212924.887311,59771.857716
2018,212924.887311,59771.857716
2019,210001.238364,56848.2087689
2020,210001.238364,56848.2087689
2021,207077.589417,53924.5598218
2022,207077.589417,53924.5598218
2023,204153.94047,51000.9108747
2024,204153.94047,51000.9108747
2025,201230.291523,48077.2619276
2026,201230.291523,48077.2619276
2027,198306.642575,45153.6129805
2028,198306.642575,45153.6129805
2029,195382.993628,42229.9640334
2030,192459.344681,39306.3150863
2031,189535.695734,36382.6661392
