year,Base case cost,Modeled biomass for heat (cordwood)
2017,660737.615812,868951.823919
2018,722626.745812,910679.453872
2019,807437.775812,969450.410371
2020,850989.385812,997805.898991
2021,878495.665812,1014387.41151
2022,901417.565812,1027667.22361
2023,915170.705812,1034253.51589
2024,928923.845812,1040923.78413
2025,942676.985812,1047676.06016
2026,961014.505812,1057898.17749
2027,977059.835812,1066503.62575
2028,990812.975812,1073490.57191
2029,1006858.30581,1082246.9815
2030,1018319.25581,1087686.47304
2031,1036656.77581,1098281.72837
2032,,
2033,,
2034,,
2035,,
2036,,
