year,Base case cost,Modeled biomass for heat (pellet)
2017,660737.615812,770519.525871
2018,722626.745812,812728.124788
2019,807437.775812,871333.666681
2020,850989.385812,900550.981391
2021,878495.665812,918365.64043
2022,901417.565812,932952.360205
2023,915170.705812,941039.854892
2024,928923.845812,949167.741411
2025,942676.985812,957335.073076
2026,961014.505812,968811.218549
2027,977059.835812,978689.835274
2028,990812.975812,986970.041577
2029,1006858.30581,996921.269604
2030,1018319.25581,1003637.23881
2031,1036656.77581,1015292.86096
2032,,
2033,,
2034,,
2035,,
2036,,
