year,Base case diesel consumed,Modeled non-residential ashp
2017,229219.447455,160453.61315
2018,229219.447455,160453.61315
2019,229219.447455,160453.61315
2020,229219.447455,160453.61315
2021,229219.447455,160453.61315
2022,229219.447455,160453.61315
2023,229219.447455,160453.61315
2024,229219.447455,160453.61315
2025,229219.447455,160453.61315
2026,229219.447455,160453.61315
2027,229219.447455,160453.61315
2028,229219.447455,160453.61315
2029,229219.447455,160453.61315
2030,229219.447455,160453.61315
2031,229219.447455,160453.61315
