year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,42235.81,1278093.18,904980.11,42337.47,800905.04,541835.34
2018,44540.58,1346416.64,963963.89,44079.35,832369.8,567645.22
2019,47699.39,1440361.4,1048630.81,46454.46,875633.85,604286.94
2020,49164.83,1483063.57,1092162.43,47581.61,895299.32,622723.38
2021,50253.18,1514378.49,1128180.3,48429.75,909720.67,637697.51
2022,51059.16,1537152.98,1165364.37,49069.51,920208.92,652550.16
2023,51583.83,1551387.03,1189776.12,49502.92,926764.08,662234.64
2024,52108.04,1565621.09,1214436.37,49935.27,933319.24,671990.36
2025,52633.04,1579855.14,1246420.02,50368.53,939874.4,684370.95
2026,53349.48,1599782.82,1276067.28,50944.74,949051.62,696210.47
2027,53970.85,1616863.68,1303823.68,51449.93,956917.81,707180.85
2028,54402.25,1628250.93,1327351.03,51813.95,962161.94,716284.72
2029,55037.0,1645331.79,1363014.82,52339.78,970028.13,730047.38
2030,55479.79,1656719.04,1394449.57,52721.37,975272.26,741943.53
2031,56205.87,1676646.71,1425811.56,53310.85,984449.48,754274.62
2032,,,1457521.46,,,766705.44
2033,,,1489579.29,,,779236.0
2034,,,1521985.02,,,791866.3
2035,,,1549813.8,,,802530.34
2036,,,1582865.66,,,815345.87
