year,Base case cost,"Unalakleet (east fork of south river) -- south river, east fork"
2021,675246.699771,5315096.8116
2022,694331.286226,5321560.48059
2023,706392.42965,5325733.55059
2024,718372.351293,5329825.39881
2025,730400.329342,5333965.30344
2026,747166.137112,5339687.80843
2027,761560.34494,5344616.32815
2028,771241.021166,5347986.54564
2029,785658.622618,5352938.45899
2030,795572.082638,5356541.46027
2031,812376.464223,5362302.53907
2032,829189.611628,5368072.38369
2033,846011.768605,5373851.23788
2034,862600.401992,5379396.56848
2035,874695.960347,5383604.05342
2036,891540.409195,5389405.19948
2037,901532.960832,5393087.29238
2038,920771.961918,5399705.37599
2039,932900.284703,5403945.62536
2040,952158.688032,5410583.11122
2041,952158.68519,5410583.10837
2042,952426.743664,5410851.16685
2043,952694.804163,5411119.22735
2044,952962.862581,5411387.28576
2045,953230.921711,5411655.34489
2046,953498.98106,5411923.40424
2047,953767.040026,5412191.46321
2048,954035.099174,5412459.52236
2049,954303.158328,5412727.58151
2050,954571.217418,5412995.6406
