year,Base case diesel consumed,Modeled non-residential ashp
2017,284681.094904,199276.766347
2018,284681.094904,199276.766347
2019,284681.094904,199276.766347
2020,284681.094904,199276.766347
2021,284681.094904,199276.766347
2022,284681.094904,199276.766347
2023,284681.094904,199276.766347
2024,284681.094904,199276.766347
2025,284681.094904,199276.766347
2026,284681.094904,199276.766347
2027,284681.094904,199276.766347
2028,284681.094904,199276.766347
2029,284681.094904,199276.766347
2030,284681.094904,199276.766347
2031,284681.094904,199276.766347
