year,Base case cost,Chignik lake area wind-hydro final design,Modeled wind power
2019,85747.2841752,,
2020,91657.1006262,,
2021,95556.7820427,,
2022,98306.9813061,,
2023,99849.3490684,,
2024,100808.223352,,
2025,102654.980212,,
2026,104760.419181,,
2027,106575.083901,,
2028,108101.891837,,
2029,110552.564448,,
2030,112313.742264,,
2031,114637.018799,,
2032,116940.845551,,
2033,118796.354814,,
2034,120612.964511,,
2035,122039.606067,,
2036,124970.688308,,
2037,126107.528103,,
2038,129027.912964,,
