year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,28493.93,6069.18,56629.18,9493.6
2018,28396.68,6068.67,56629.18,9493.6
2019,28299.43,6068.3,56629.18,9493.6
2020,28202.18,6067.89,56629.18,9493.6
2021,28104.94,6067.36,56629.18,9493.6
2022,28007.69,6066.63,56629.18,8963.53
2023,27813.19,6065.67,56629.18,8963.53
2024,27618.69,6064.86,56629.18,8963.53
2025,27521.44,6064.21,56629.18,8963.53
2026,27424.19,6063.78,56629.18,8963.53
2027,27326.94,6063.25,56629.18,8433.45
2028,27229.7,6062.65,56629.18,8433.45
2029,27229.7,6063.04,56629.18,8433.45
2030,27326.94,6063.19,56629.18,8433.45
2031,27229.7,6063.08,56629.18,8433.45
