year,Base case diesel consumed,Modeled transmission and interties
2021,56209.8717899,28104.9358949
2022,56015.3739636,28007.6869818
2023,55626.3783111,27813.1891555
2024,55237.3826585,27618.6913293
2025,55042.8848323,27521.4424161
2026,54848.387006,27424.193503
2027,54653.8891798,27326.9445899
2028,54459.3913535,27229.6956767
2029,54459.3913535,27229.6956767
2030,54653.8891798,27326.9445899
2031,54459.3913535,27229.6956767
2032,54264.8935272,27132.4467636
2033,53875.8978747,26937.9489374
2034,53486.9022222,26743.4511111
2035,53292.4043959,26646.202198
2036,53292.4043959,26646.202198
2037,53097.9065697,26548.9532848
2038,53097.9065697,26548.9532848
2039,52903.4087434,26451.7043717
2040,52708.9109171,26354.4554586
