year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2"
2021,95556.7820427,410801.854244,1123671.7778,432348.210704
2022,98306.9813061,402147.220182,1098349.72073,423660.318502
2023,99849.3490684,393356.569989,1073674.03379,414784.688056
2024,100808.223352,384756.364668,1049820.02618,406066.792272
2025,102654.980212,376640.057563,1026501.62293,397876.537241
2026,104760.419181,368667.54856,1003513.67385,389854.549217
2027,106575.083901,360871.96551,981167.298647,381995.539505
2028,108101.891837,353252.140051,959453.786455,374298.217902
2029,110552.564448,346135.652467,938264.780691,367147.483403
2030,112313.742264,339665.550706,918593.281739,360571.392412
2031,114637.018799,332449.167165,897753.879313,353349.476871
2032,116940.845551,325368.157683,877335.658079,346267.55236
2033,118796.354814,317990.025699,856899.422557,338893.014105
2034,120612.964511,310720.645967,836844.506756,331631.631199
2035,122039.606067,304085.641094,818118.717355,324951.485372
2036,124970.688308,297922.352183,799553.153251,318823.838175
2037,126107.528103,291569.252369,781765.91461,312414.751329
2038,129027.912964,285667.065635,763963.198741,306556.311593
2039,130671.419596,279499.293717,746565.55882,300378.759733
2040,133353.54462,273324.671639,728826.052773,294274.760351
2041,132861.46512,267621.519511,713503.182444,288416.209815
2042,132861.46512,262532.581275,699019.987927,283175.515319
2043,132861.46512,257562.9153,684876.24405,278057.649878
2044,132861.46512,252709.725827,671063.994045,273059.734363
2045,132861.46512,247970.28307,657575.468901,268178.957584
2046,132369.385619,242849.841301,643911.000991,262920.494303
2047,132369.385619,238329.95645,631047.340936,258265.822824
2048,132369.385619,233916.006283,618485.172583,253720.245087
2049,132369.385619,229605.508008,606217.429862,249281.204261
2050,132369.385619,225396.037158,594237.212711,244946.20358
