year,Base case diesel consumed,"Unalakleet (east fork of south river) -- south river, east fork"
2021,236100.244675,62077.4833984
2022,236167.104158,62144.3428817
2023,236251.648712,62228.8874356
2024,236306.694504,62283.9332274
2025,236375.511114,62352.749837
2026,236444.980099,62422.2188221
2027,236509.423894,62486.6626176
2028,236577.000358,62554.239081
2029,236644.163439,62621.4021624
2030,236777.405547,62754.6442702
2031,236844.450211,62821.688934
2032,236911.317608,62888.5563313
2033,236978.086444,62955.3251673
2034,236978.132415,62955.3711386
2035,237044.975704,63022.2144271
2036,237111.810956,63089.0496794
2037,237245.516008,63222.7547316
2038,237312.361319,63289.6000422
2039,237379.207304,63356.4460269
2040,237446.056866,63423.295589
2041,237446.056157,63423.2948804
2042,237512.903657,63490.1423801
2043,237579.751662,63556.9903849
2044,237646.599147,63623.8378706
2045,237713.446811,63690.685534
2046,237780.294529,63757.533252
2047,237847.142151,63824.3808743
2048,237913.989819,63891.2285422
2049,237980.837488,63958.0762116
2050,238047.685142,64024.9238648
