year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.35
2001,,,2.35
2004,,1.42,2.99
2005,,1.91,3.15
2008,,3.34,6.07
2009,,3.58,6.49
2010,,2.62,4.83
2011,,2.96,5.07
2012,,3.64,6.62
2013,,3.68,6.62
2014,,,6.62
2016,start of forecast,1.7,4.16
2017,,2.03,4.49
2018,,2.27,4.73
2019,,2.6,5.06
2020,,2.75,5.21
2021,,2.86,5.32
2022,,2.94,5.4
2023,,2.99,5.45
2024,,3.04,5.5
2025,,3.09,5.55
2026,,3.16,5.62
2027,,3.22,5.68
2028,,3.26,5.72
2029,,3.32,5.78
2030,,3.36,5.82
2031,,3.43,5.89
2032,,3.5,5.96
2033,,3.57,6.03
2034,,3.64,6.1
2035,,3.69,6.15
2036,,3.76,6.22
2037,,3.8,6.26
2038,,3.88,6.34
2039,,3.93,6.39
2040,,4.01,6.47
