year,Base case diesel consumed,"Iliamna (unnamed stream, site #1) -- unnamed creek"
2021,3488.13253455,982.339157393
2022,3488.13253455,982.339157393
2023,3488.13253455,982.339157393
2024,3488.13253455,982.339157393
2025,3488.13253455,982.339157393
2026,3488.13253455,982.339157393
2027,3488.13253455,982.339157393
2028,3488.13253455,982.339157393
2029,3488.13253455,982.339157393
2030,3488.13253455,982.339157393
2031,3488.13253455,982.339157393
2032,3488.13253455,982.339157393
2033,3488.13253455,982.339157393
2034,3488.13253455,982.339157393
2035,3488.13253455,982.339157393
2036,3488.13253455,982.339157393
2037,3488.13253455,982.339157393
2038,3488.13253455,982.339157393
2039,3488.13253455,982.339157393
2040,3488.13253455,982.339157393
2041,3488.13253455,982.339157393
2042,3488.13253455,982.339157393
2043,3488.13253455,982.339157393
2044,3488.13253455,982.339157393
2045,3488.13253455,982.339157393
2046,3488.13253455,982.339157393
2047,3488.13253455,982.339157393
2048,3488.13253455,982.339157393
2049,3488.13253455,982.339157393
2050,3488.13253455,982.339157393
2051,3488.13253455,982.339157393
2052,3488.13253455,982.339157393
2053,3488.13253455,982.339157393
2054,3488.13253455,982.339157393
2055,3488.13253455,982.339157393
2056,3488.13253455,982.339157393
2057,3488.13253455,982.339157393
2058,3488.13253455,982.339157393
2059,3488.13253455,982.339157393
2060,3488.13253455,982.339157393
2061,3488.13253455,982.339157393
2062,3488.13253455,982.339157393
2063,3488.13253455,982.339157393
2064,3488.13253455,982.339157393
2065,3488.13253455,982.339157393
2066,3488.13253455,982.339157393
2067,3488.13253455,982.339157393
2068,3488.13253455,982.339157393
2069,3488.13253455,982.339157393
2070,3488.13253455,982.339157393
