year,Base case cost,"Iliamna (unnamed stream, site #1) -- unnamed creek"
2021,15047.5004382,224006.31374
2022,15431.195017,219799.578551
2023,15695.0798261,215652.397904
2024,15911.950675,211588.032686
2025,16172.8023254,207636.211188
2026,16489.7674123,203798.933122
2027,16758.2019595,200037.111146
2028,16975.0728084,196347.507454
2029,17272.3223635,192774.486978
2030,17454.311887,189247.057432
2031,17774.3101326,185852.425216
2032,18104.9244337,182543.736973
2033,18426.4392586,179312.120233
2034,18766.1530359,176165.310786
2035,18983.0238848,173051.782114
2036,19334.870297,170060.569409
2037,19544.158249,167092.145086
2038,19889.9383438,164243.107494
2039,20152.3065735,161434.313343
2040,20531.4514143,158734.657102
2041,20531.4514143,155967.831893
2042,20531.4514143,153265.854148
2043,20531.4514143,150627.204018
2044,20531.4514143,148050.39724
2045,20531.4514143,145533.984381
2046,20531.4514143,143076.549944
2047,20531.4514143,140676.711634
2048,20531.4514143,138333.119534
2049,20531.4514143,136044.455352
2050,20531.4514143,133809.431752
2051,20531.4514143,131626.791521
2052,20531.4514143,129495.306919
2053,20531.4514143,127413.778995
2054,20531.4514143,125381.036865
2055,20531.4514143,123395.937135
2056,20531.4514143,121457.363182
2057,20531.4514143,119564.224558
2058,20531.4514143,117715.456363
2059,20531.4514143,115910.018687
2060,20531.4514143,114146.895945
2061,20531.4514143,112425.096394
2062,20531.4514143,110743.65152
2063,20531.4514143,109101.615505
2064,20531.4514143,107498.064725
2065,20531.4514143,105932.097153
2066,20531.4514143,104402.831942
2067,20531.4514143,102909.408897
2068,20531.4514143,101450.987942
2069,20531.4514143,100026.748732
2070,20531.4514143,98635.8901324
