year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,4048161.0,775.16,2976333.0,2397443.0,578890.0
2004,,4048161.0,775.16,3223495.0,2292605.0,930890.0
2005,,4048161.0,775.16,3019771.0,2444735.0,575036.0
2006,,4048161.0,775.16,3506091.0,2239695.0,1266396.0
2007,,4048161.0,775.16,3607929.0,3188179.0,419750.0
2008,,4048161.0,775.16,3855366.0,3244407.0,610959.0
2009,,4048161.0,775.16,3548082.0,2726926.0,821156.0
2010,,4048161.0,775.16,3466697.0,3005462.0,461235.0
2011,,4048161.0,775.16,3087536.0,3007376.0,80160.0
2012,,4048161.0,775.16,4334466.0,4259727.0,74739.0
2013,,4048161.0,775.16,4124415.0,4048161.0,76254.0
2014,,4048161.0,775.16,3903972.0,3871736.0,32236.0
2015,,4048161.0,775.16,3781372.0,3746996.0,34376.0
2016,start of forecast,4048161.0,775.16,3778000.0,3730378.0,47622.0
2017,,4048161.0,775.16,3778000.0,3730378.0,47622.0
2018,,4048161.0,775.16,3778000.0,3730378.0,47622.0
2019,,4048161.0,775.16,3778000.0,3730378.0,47622.0
2020,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2021,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2022,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2023,,4048161.0,775.16,3778000.0,3730378.0,47622.0
2024,,4048161.0,775.16,3778000.0,3730378.0,47622.0
2025,,4048161.0,775.16,3778000.0,3730378.0,47622.0
2026,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2027,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2028,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2029,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2030,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2031,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2032,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2033,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2034,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2035,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2036,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2037,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2038,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2039,,4048161.0,775.16,3779000.0,3731378.0,47622.0
2040,,4048161.0,775.16,3779000.0,3731378.0,47622.0
