year,Base case cost,Modeled residential energy efficiency
2017,104870.451043,108167.113686
2018,106344.246369,107378.815504
2019,114892.671402,113013.044229
2020,119067.483627,115505.042714
2021,121850.691778,117005.446196
2022,118200.099071,112250.150929
2023,119713.945302,112837.118132
2024,114877.95362,107196.393482
2025,116315.241425,107729.20701
2026,117932.190206,108397.086188
2027,113158.856574,102740.645112
2028,114179.403608,102999.204872
2029,109356.055674,97257.7210694
2030,110158.662519,97373.6454825
2031,111763.876211,98024.7509049
2032,106624.724769,91996.2728854
2033,108134.240428,92570.2130517
2034,109643.756087,93153.0951225
2035,103858.188597,86615.842648
2036,105272.006223,87120.2866762
