year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,12005690,180376
2004,,0,0,0,0,11888770,750256
2005,,0,0,0,0,22376210,130069
2006,,0,0,0,0,13376726,54062
2007,,0,0,0,0,13616445,499677
2008,,0,0,0,0,14603046,195810
2009,,0,0,0,0,14563071,239702
2010,,0,0,0,0,14597252,72282
2011,,0,0,0,0,14356633,485200
2012,,0,0,0,0,14331196,192420
2013,,0,0,0,0,13539282,1532828
2014,start of forecast,0,0,0,0,14075704,256296
2015,,0,0,0,0,13982061,342939
2016,,0,0,0,0,13865682,448318
2017,,0,0,0,0,13974482,324518
2018,,0,0,0,0,13940742,340258
2019,,0,0,0,0,13926969,335031
2020,,0,0,0,0,13947397,292603
2021,,0,0,0,0,13938369,277631
2022,,0,0,0,0,13937578,252422
2023,,0,0,0,0,13941115,220885
2024,,0,0,0,0,13939021,193979
2025,,0,0,0,0,13939238,163762
2026,,0,0,0,0,13939791,132209
2027,,0,0,0,0,13939350,100650
2028,,0,0,0,0,13939460,68540
2029,,0,0,0,0,13939534,38466
2030,,0,0,0,0,13939448,8552
2031,,0,0,0,0,13918000,0
2032,,0,0,0,0,13887000,0
2033,,0,0,0,0,13857000,0
2034,,0,0,0,0,13827000,0
2035,,0,0,0,0,13800000,0
2036,,0,0,0,0,13774000,0
2037,,0,0,0,0,13750000,0
2038,,0,0,0,0,13727000,0
2039,,0,0,0,0,13704000,0
2040,,0,0,0,0,13683000,0
