year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,46926.0,39133.5270858
2018,46015.0,38222.5270858
2019,46015.0,38222.5270858
2020,46015.0,38222.5270858
2021,46015.0,38222.5270858
2022,45103.0,37310.5270858
2023,45103.0,37310.5270858
2024,44192.0,36399.5270858
2025,44192.0,36399.5270858
2026,44192.0,36399.5270858
2027,43281.0,35488.5270858
2028,43281.0,35488.5270858
2029,42369.0,34576.5270858
2030,42369.0,34576.5270858
2031,42369.0,34576.5270858
2032,41458.0,33665.5270858
2033,41458.0,33665.5270858
2034,41458.0,33665.5270858
2035,40547.0,32754.5270858
2036,40547.0,32754.5270858
